Month,Year,Region,Dengue_Cases,Dengue_Deaths,Date,Is_Outbreak,rfh,rfh_avg,rfh_lag1,rfh^2,rfh rfh_avg,rfh rfh_lag1,rfh_avg^2,rfh_avg rfh_lag1,rfh_lag1^2
January,2016,BARMM,126,2,2016-01-01,0,-1.2921390720832073,-0.8891295297094016,-1.2660201281196783,-0.7220383412796568,-0.8709758130229496,-0.7972448146516512,-0.8069879449558242,-0.9315844422773731,-0.7094043138488464
February,2016,BARMM,92,2,2016-02-01,0,-1.1406358491298174,-0.9226066321907477,-1.2660201281196783,-0.7065141556122871,-0.8339382947480698,-0.7907567970782038,-0.8219196132727877,-0.9329909498637751,-0.7094043138488464
March,2016,BARMM,107,3,2016-03-01,0,-1.2009415703472506,-0.5981671140338043,-1.113501953464606,-0.7140043852063106,-0.8297558283035509,-0.7826007891924809,-0.6559274803882279,-0.8600604417752512,-0.6935718532897889
April,2016,BARMM,109,4,2016-04-01,0,-0.841490840216216,-0.5502469032235163,-1.1742116752912515,-0.6437301672536923,-0.7013965479967488,-0.7613973732202634,-0.6273871405511292,-0.8803322331270256,-0.7012108217462744
May,2016,BARMM,165,4,2016-05-01,0,0.1303609173561664,0.10591750398457564,-0.812352909719745,-0.145349328335318,-0.09605995111301543,-0.5198184452324033,-0.13242595113720107,-0.617626618764886,-0.6295411182337706
June,2016,BARMM,263,7,2016-06-01,1,0.8495959878308186,0.5555536397016166,0.1660094855532932,0.5133838854851455,0.5438282483889548,0.292645000420337,0.31884743406754495,0.18122162526364213,-0.1212635734637124
July,2016,BARMM,491,2,2016-07-01,1,0.370582667612343,0.4427864099889609,0.8900628618333113,0.04723864467942555,0.18632117779949617,0.46120915893999814,0.19710477750237843,0.635550264276436,0.5505505783520084
August,2016,BARMM,327,2,2016-08-01,1,-0.13514316679049082,0.14691228226264227,0.40784053143665694,-0.3262030569611196,-0.22018757977500122,-0.08467099998372757,-0.09505888023327126,0.1366542470753118,0.0751487570918136
September,2016,BARMM,124,105,2016-09-01,0,0.5021746668691929,0.2942599835354754,-0.1012732658504375,0.164398901393585,0.1916319965563649,-0.0321974243394451,0.045506728744271994,-0.11737238397820346,-0.3057086443214391
October,2016,BARMM,82,109,2016-10-01,0,0.7243603490287429,0.32070778246042664,0.5403140929531732,0.3809524646174144,0.3327182180139614,0.47905459533984973,0.0717735326509897,0.31917390589192474,0.19463554907310784
November,2016,BARMM,143,1,2016-11-01,0,-0.05893072799288929,-0.11650914573671484,0.7639882433565091,-0.27772781682136716,-0.2736438349232545,0.10694344840778687,-0.3219593615929967,0.18329293097962762,0.4154893717551691
December,2016,BARMM,162,2,2016-12-01,0,-0.3162351488687166,-0.43733839124206664,-0.02455026402362044,-0.4302814321354514,-0.4853299089734183,-0.3324016156791622,-0.5560468859930342,-0.3700549408969622,-0.2562707965625935
January,2017,BARMM,74,0,2017-01-01,0,-0.09567040798982533,-0.8891295297094016,-0.28357842090141183,-0.30144189778394564,-0.5585254115005949,-0.3450051237666515,-0.8069879449558242,-0.6353095907611442,-0.41185377845636223
February,2017,BARMM,59,1,2017-02-01,0,-0.6205605263921876,-0.9226066321907477,-0.06153607080258298,-0.5699756253886338,-0.7026439516024354,-0.470053310385488,-0.8219196132727877,-0.581843868334957,-0.28045578504308344
March,2017,BARMM,25,0,2017-03-01,0,0.08953734181709992,-0.5981671140338043,-0.5899425376263427,-0.17534334739751986,-0.3952735097381347,-0.4238574904600999,-0.6559274803882279,-0.6564990509894485,-0.5543219795201488
April,2017,BARMM,36,0,2017-04-01,0,-0.3102125603157844,-0.5502469032235163,0.12491242436385949,-0.42707139601291894,-0.5159145649840504,-0.27865195512680246,-0.6273871405511292,-0.3565647313715779,-0.15185320527983281
May,2017,BARMM,22,0,2017-05-01,0,0.8584154254309001,0.10591750398457564,-0.2775154857711516,0.5229918645572326,0.2821471047992213,-0.013464590151200693,-0.13242595113720107,-0.29678126128662086,-0.4085799983436978
June,2017,BARMM,57,0,2017-06-01,0,0.48197738900467985,0.5555536397016166,0.8989413826860496,0.14588041775253263,0.309945589185239,0.5445662937042824,0.31884743406754495,0.7197051370838627,0.5603493499571951
July,2017,BARMM,62,0,2017-07-01,0,0.40902258776971184,0.4427864099889609,0.5199815093100878,0.08060938363383975,0.2096516584928659,0.28004960344355667,0.19710477750237843,0.3761641923692419,0.1757493306174256
August,2017,BARMM,41,0,2017-08-01,0,0.13123490600467283,0.14691228226264227,0.4465379686396418,-0.14469850268373632,-0.07897542542641137,0.08147134006125457,-0.09505888023327126,0.16034419194392743,0.1091821627494701
September,2017,BARMM,33,1,2017-09-01,0,0.7294772319682873,0.2942599835354754,0.16688932923411354,0.38621685736834543,0.3208247408511312,0.23551629276160177,0.045506728744271994,0.05863878457551246,-0.12059982390027164
October,2017,BARMM,38,0,2017-10-01,0,0.6899726397864748,0.32070778246042664,0.769139405362502,0.3458972115172059,0.31293703940297934,0.6069367999972675,0.0717735326509897,0.47118007781869,0.4208583033295766
November,2017,BARMM,17,0,2017-11-01,0,-0.03396621697582541,-0.11650914573671484,0.7293701636750382,-0.2612470118817455,-0.2621169649610545,0.10871651574009228,-0.3219593615929967,0.1648342976528508,0.3797380013458722
December,2017,BARMM,21,0,2017-12-01,0,0.4179691648672724,-0.43733839124206664,0.0005814894615870688,0.08847719651558457,-0.20747976288220218,-0.008213818987010601,-0.5560468859930342,-0.3590718461918627,-0.23946272045612604
January,2018,BARMM,149,2,2018-01-01,0,-0.5301893667141417,-0.8891295297094016,0.4555444807238805,-0.533101134826529,-0.671997353722637,-0.2905239606912328,-0.8069879449558242,-0.4124123681347573,0.11720621243589566
February,2018,BARMM,129,1,2018-02-01,0,-0.60684679375292,-0.9226066321907477,-0.498965962693689,-0.5646305224929831,-0.6991818847820571,-0.5746322471795292,-0.8219196132727877,-0.7093692008438544,-0.5167152457455725
March,2018,BARMM,77,2,2018-03-01,0,-0.8470526402536639,-0.5981671140338043,-0.5761369338307571,-0.6452866516155528,-0.7106074397383962,-0.655003315363176,-0.6559274803882279,-0.6511313929467264,-0.5488707350817773
April,2018,BARMM,124,3,2018-04-01,0,0.5168419522071238,-0.5502469032235163,-0.817951969416112,0.17796892740088224,-0.22717000898394546,-0.45302075035652706,-0.6273871405511292,-0.7366991066444287,-0.6311285108222104
May,2018,BARMM,164,1,2018-05-01,0,0.3151077622313413,0.10591750398457564,0.5550796374959092,0.0003211373761136852,-8.834525882528115e-05,0.2435023000112584,-0.13242595113720107,0.20268692848043676,0.20847504482182888
June,2018,BARMM,254,5,2018-06-01,0,-0.0961152474768847,0.5555536397016166,0.3519939880896798,-0.3017250824110681,-0.05784277494575906,-0.08582347787217441,0.31884743406754495,0.31786404519613154,0.027299575187843254
July,2018,BARMM,412,3,2018-07-01,1,0.32086024564472626,0.4427864099889609,-0.06198389036218182,0.005118085752300136,0.1561429672050425,-0.08346055285685955,0.19710477750237843,-0.03172914777795625,-0.28074459307050037
August,2018,BARMM,253,2,2018-08-01,0,0.08443636910055895,0.14691228226264227,0.3577850085897055,-0.17903531425880648,-0.10378423249993375,0.013864599348617121,-0.09505888023327126,0.1060110659676352,0.03219178000921701
September,2018,BARMM,261,0,2018-09-01,1,0.05770804170675222,0.2942599835354754,0.11977727916677346,-0.19817789174570646,-0.060991034895723405,-0.10884604186609807,0.045506728744271994,0.027716325077761894,-0.155618486175663
October,2018,BARMM,246,8,2018-10-01,0,-0.18556487539695363,0.32070778246042664,0.09286989313089536,-0.35675212695532627,-0.19070697615042576,-0.23253034081506888,0.0717735326509897,0.021941579408072613,-0.17514119155640834
November,2018,BARMM,183,4,2018-11-01,0,-0.4988685340477259,-0.11650914573671484,-0.1520327600033346,-0.5194127191960446,-0.476776428963787,-0.4458372067757231,-0.3219593615929967,-0.30513669816863054,-0.336864349114109
December,2018,BARMM,208,2,2018-12-01,0,-0.6956765503301826,-0.43733839124206664,-0.4674353052341552,-0.5976626816490144,-0.6289246098716682,-0.5921699108515889,-0.5560468859930342,-0.5636048399897691,-0.502755009425985
January,2019,BARMM,201,2,2019-01-01,0,-0.9520910788020707,-0.8891295297094016,-0.6655617794816421,-0.6719129979721029,-0.7821743799172434,-0.6947425705083274,-0.8069879449558242,-0.7505042756096418,-0.5825588375191009
February,2019,BARMM,309,4,2019-02-01,1,-1.2319604774281125,-0.9226066321907477,-0.9236940823806042,-0.7171818811617126,-0.8569934303432898,-0.7738100221778772,-0.8219196132727877,-0.833191545162372,-0.6582835956398293
March,2019,BARMM,303,2,2019-03-01,1,-0.8586211962318844,-0.5981671140338043,-1.2054383845027372,-0.6484769084686687,-0.7145023759333947,-0.7680768151115527,-0.6559274803882279,-0.8958055877889873,-0.7044514155183655
April,2019,BARMM,221,2,2019-04-01,0,-0.8797083212273443,-0.5502469032235163,-0.8295980255646077,-0.6541279691318072,-0.7147391867453585,-0.7060132805620425,-0.6273871405511292,-0.7413944438611123,-0.6343821188943161
May,2019,BARMM,284,2,2019-05-01,1,-0.4460950616488455,0.10591750398457564,-0.8508264176102367,-0.49529090067897613,-0.39551516533732217,-0.6360061705173018,-0.13242595113720107,-0.6407066162367049,-0.6401453967230553
June,2019,BARMM,554,4,2019-06-01,1,0.5029215418905014,0.5555536397016166,-0.41430829233250005,0.1650874246669045,0.32327047042722934,-0.21693222688301816,0.31884743406754495,-0.24513661651860505,-0.47815418665387904
July,2019,BARMM,772,2,2019-07-01,1,0.4563295856501875,0.4427864099889609,0.5410659714460849,0.12264470923939409,0.2383638669520227,0.3200575942027681,0.19710477750237843,0.39094206694855915,0.1953377448470051
August,2019,BARMM,811,6,2019-08-01,1,-0.2820539491469748,0.14691228226264227,0.49416188596951455,-0.4118334656684996,-0.29806781915021663,-0.13579244792154085,-0.09505888023327126,0.189498783501354,0.15205221397128366
September,2019,BARMM,807,2,2019-09-01,1,-0.6344650264858067,0.2942599835354754,-0.24916823419083342,-0.5753035530746471,-0.4544038332411361,-0.5214585400513652,0.045506728744271994,-0.21444470755338504,-0.393039477484895
October,2019,BARMM,481,2,2019-10-01,1,0.24015072410711324,0.32070778246042664,-0.6039401868672603,-0.06074298145936498,0.054181575510360507,-0.3934403310061364,0.0717735326509897,-0.4409417952730955,-0.5597557076884238
November,2019,BARMM,362,0,2019-11-01,1,-0.6512457456496222,-0.11650914573671484,0.27653479712728624,-0.5816108612859765,-0.5471335972711141,-0.4020692133436336,-0.3219593615929967,-0.0766210940214468,-0.03497713766212155
December,2019,BARMM,288,3,2019-12-01,1,-0.7627835426327226,-0.43733839124206664,-0.620833323570048,-0.6201228680003927,-0.6543203849524826,-0.6427605104447187,-0.5560468859930342,-0.6306429383838729,-0.5661882646437034
January,2020,BARMM,212,1,2020-01-01,0,-0.9812825415493175,-0.8891295297094016,-0.7331183355274775,-0.6783788552852673,-0.7897975501097644,-0.7106404658667691,-0.8069879449558242,-0.770877299743664,-0.6054650319035649
February,2020,BARMM,233,2,2020-02-01,0,-1.0615948249174745,-0.9226066321907477,-0.9530811048275879,-0.6940717468077433,-0.8139841863683629,-0.752012505874458,-0.8219196132727877,-0.8417588376096176,-0.6648778501202007
March,2020,BARMM,207,2,2020-03-01,0,-0.7720796854388621,-0.5981671140338043,-1.0339314169391702,-0.6230649277714821,-0.6853653199868984,-0.7282160273708611,-0.6559274803882279,-0.8291231907380282,-0.6808823666475572
April,2020,BARMM,23,0,2020-04-01,0,-1.0454338412774886,-0.5502469032235163,-0.7424767551339138,-0.691161021742484,-0.7725979384723675,-0.7249383526775305,-0.6273871405511292,-0.7062697855044862,-0.6084655142661322
May,2020,BARMM,27,0,2020-05-01,0,-0.10704820944883493,0.10591750398457564,-1.0176621674977941,-0.3086553526751545,-0.2193883638894907,-0.6459857699844752,-0.13242595113720107,-0.7407902555184106,-0.6779138412265528
June,2020,BARMM,48,0,2020-06-01,0,1.0519182093006902,0.5555536397016166,-0.07299009452754253,0.743126878398606,0.6725476856657285,0.20848108209783403,0.31884743406754495,0.005629140192446542,-0.2878124826829252
July,2020,BARMM,100,0,2020-07-01,0,0.4848060390951246,0.4427864099889609,1.0937404820793013,0.1484622410320585,0.25564718451857554,0.660624713948217,0.19710477750237843,0.7783057354473251,0.7848557426910089
August,2020,BARMM,91,0,2020-08-01,0,0.5167465555448074,0.14691228226264227,0.5228291091176858,0.17788033603331505,0.1253917358297735,0.3451521306652948,-0.09505888023327126,0.20704839363068037,0.17838242301398646
