Month,Year,Region,Dengue_Cases,Dengue_Deaths,Date,rfh,rfh_avg
January,2016,BARMM,126,2,2016-01-01,21.523342,40.213977666666665
February,2016,BARMM,92,2,2016-02-01,44.948402,38.87559433333333
March,2016,BARMM,107,3,2016-03-01,35.624078,51.84638366666667
April,2016,BARMM,109,4,2016-04-01,91.201476,53.762189
May,2016,BARMM,165,4,2016-05-01,241.466832,79.99503
June,2016,BARMM,263,7,2016-06-01,352.67321,97.97106333333333
July,2016,BARMM,491,2,2016-07-01,278.609335,93.46273466666666
August,2016,BARMM,327,2,2016-08-01,200.415236,81.633963
September,2016,BARMM,124,105,2016-09-01,298.95577000000003,87.52478666666666
October,2016,BARMM,82,109,2016-10-01,333.30958,88.58214500000001
November,2016,BARMM,143,1,2016-11-01,212.199018,71.10262
December,2016,BARMM,162,2,2016-12-01,172.415234,58.276165999999996
January,2017,BARMM,74,0,2017-01-01,206.518418,40.213977666666665
February,2017,BARMM,59,1,2017-02-01,125.361184,38.87559433333333
March,2017,BARMM,25,0,2017-03-01,235.15479,51.84638366666667
April,2017,BARMM,36,0,2017-04-01,173.346432,53.762189
May,2017,BARMM,22,0,2017-05-01,354.03685,79.99503
June,2017,BARMM,57,0,2017-06-01,295.832916,97.97106333333333
July,2017,BARMM,62,0,2017-07-01,284.552822,93.46273466666666
August,2017,BARMM,41,0,2017-08-01,241.601966,81.633963
September,2017,BARMM,33,1,2017-09-01,334.10074,87.52478666666666
October,2017,BARMM,38,0,2017-10-01,327.992636,88.58214500000001
November,2017,BARMM,17,0,2017-11-01,216.05897,71.10262
December,2017,BARMM,21,0,2017-12-01,285.93612,58.276165999999996
January,2018,BARMM,149,2,2018-01-01,139.33415300000001,40.213977666666665
February,2018,BARMM,129,1,2018-02-01,127.48156800000001,38.87559433333333
March,2018,BARMM,77,2,2018-03-01,90.341524,51.84638366666667
April,2018,BARMM,124,3,2018-04-01,301.22359,53.762189
May,2018,BARMM,164,1,2018-05-01,270.03194,79.99503
June,2018,BARMM,254,5,2018-06-01,206.44963800000002,97.97106333333333
July,2018,BARMM,412,3,2018-07-01,270.921375,93.46273466666666
August,2018,BARMM,253,2,2018-08-01,234.36608999999999,81.633963
September,2018,BARMM,261,0,2018-09-01,230.233421,87.52478666666666
October,2018,BARMM,246,8,2018-10-01,192.61915399999998,88.58214500000001
November,2018,BARMM,183,4,2018-11-01,144.17690399999998,71.10262
December,2018,BARMM,208,2,2018-12-01,113.746927,58.276165999999996
January,2019,BARMM,201,2,2019-01-01,74.100736,40.213977666666665
February,2019,BARMM,309,4,2019-02-01,30.82801,38.87559433333333
March,2019,BARMM,303,2,2019-03-01,88.55282199999999,51.84638366666667
April,2019,BARMM,221,2,2019-04-01,85.292382,53.762189
May,2019,BARMM,284,2,2019-05-01,152.33661,79.99503
June,2019,BARMM,554,4,2019-06-01,299.07125,97.97106333333333
July,2019,BARMM,772,2,2019-07-01,291.867315,93.46273466666666
August,2019,BARMM,811,6,2019-08-01,177.700248,81.633963
September,2019,BARMM,807,2,2019-09-01,123.211304,87.52478666666666
October,2019,BARMM,481,2,2019-10-01,258.442265,88.58214500000001
November,2019,BARMM,362,0,2019-11-01,120.61671,71.10262
December,2019,BARMM,288,3,2019-12-01,103.371007,58.276165999999996
January,2020,BARMM,212,1,2020-01-01,69.587223,40.213977666666665
February,2020,BARMM,233,2,2020-02-01,57.169533,38.87559433333333
March,2020,BARMM,207,2,2020-03-01,101.93366,51.84638366666667
April,2020,BARMM,23,0,2020-04-01,59.668305000000004,53.762189
May,2020,BARMM,27,0,2020-05-01,204.75921,79.99503
